,Unnamed: 0,_id,text,tags,definitions,technical_instruction_for_dev,sap_products,content_relevant_to_technical_risks,cost_information,risk_for_gl,support_information,marked,is_priority_statement,user_id
0,0,5e94e5dbe55dd0f9169ca4f0,"You will only access (or attempt to access) an API by the means described in the documentation of that API. If Google assigns you developer credentials (e.g. client IDs), you must use them with the applicable APIs. You will not misrepresent or mask either your identity or your API Client's identity when using the APIs or developer accounts.",['technical requirements'],0,1,0,1,0,0,0,1.0,1.0,I831094
1,1,5e94e5dbe55dd0f9169ca4f1,"Consequently, you will not create an API Client that functions substantially the same as the APIs and offer it for use by third parties",['technical requirements'],0,1,0,1,0,0,0,1.0,1.0,I831094
2,2,5e94e5dbe55dd0f9169ca4f2,"When you do, we’ll ask for personal information, like your name, email address, telephone number or credit card to store with your account. If you want to take full advantage of the sharing features we offer, we might also ask you to create a publicly visible Google Profile, which may include your name and photo.","['monitor/audit', 'privacy/data protection']",0,0,0,0,1,0,0,1.0,1.0,I830949
2,2,5e94e5dbe55dd0f9169ca4f2,"when your application do, we’ll ask for personal information, like your name, email address, telephone number or credit card to store with your account. if you want to take full advantage of the sharing features we offer, we might also ask you to create a publicly visible google profile, which may include your name and photo.","['monitor/audit', 'privacy/data protection']",0,1,0,1,1,0,0,1.0,1.0,I830949
2,2,5e94e5dbe55dd0f9169ca4f2,"when your implementation do, we’ll ask for personal information, like your name, email address, telephone number or credit card to store with your account. if you want to take full advantage of the sharing features we offer, we might also ask you to create a publicly visible google profile, which may include your name and photo.","['monitor/audit', 'privacy/data protection']",0,1,0,1,1,0,0,1.0,1.0,I830949
2,2,5e94e5dbe55dd0f9169ca4f2,"when you do, we’ll ask for personal information, like your name, email address, telephone number or credit card to store with your account. if you want to take full advantage of the sharing features we offer, we might also ask you to create a publicly visible google developers profile, which may include your name and photo.","['monitor/audit', 'privacy/data protection']",0,1,0,1,1,0,0,1.0,1.0,I830949
3,3,5e94e5dbe55dd0f9169ca4f3,"We collect information about the services that you use and how you use them, like when you watch a video on YouTube, visit a website that uses our advertising services or view and interact with our ads and content. This information includes:","['monitor/audit', 'use/modification of sap content']",0,1,0,0,1,0,0,1.0,1.0,I076758
4,4,5e94e5dbe55dd0f9169ca4f4,"We collect device-specific information (such as your hardware model, operating system version, unique device identifiers, and mobile network information including phone number). Google may associate your device identifiers or phone number with your Google Account.",['monitor/audit'],0,0,0,0,0,0,0,1.0,1.0,I831094
4,4,5e94e5dbe55dd0f9169ca4f4,"we collect device-specific information (such as your hardware model, operating system version, unique device identifiers, and mobile network information including phone number). google developers may associate your device identifiers or phone number with your google account.",['monitor/audit'],0,1,0,1,0,0,0,1.0,1.0,I831094
5,5,5e94e5dbe55dd0f9169ca4f5,"When you use our services or view content provided by Google, we automatically collect and store certain information in server logs.","['monitor/audit', 'data management and usage']",0,0,0,0,0,0,0,1.0,1.0,I831094
5,5,5e94e5dbe55dd0f9169ca4f5,"when your application use our services or view content provided by google, we automatically collect and store certain information in server logs.","['monitor/audit', 'data management and usage']",0,1,0,1,0,0,0,1.0,1.0,I831094
5,5,5e94e5dbe55dd0f9169ca4f5,"when your implementation use our services or view content provided by google, we automatically collect and store certain information in server logs.","['monitor/audit', 'data management and usage']",0,1,0,1,0,0,0,1.0,1.0,I831094
6,6,5e94e5dbe55dd0f9169ca4f6,"When you use Google services, we may collect and process information about your actual location. We use various technologies to determine location, including IP address, GPS and other sensors that may, for example, provide Google with information on nearby devices, Wi-Fi access points and mobile towers.",['monitor/audit'],0,0,0,0,0,0,0,1.0,1.0,I831094
6,6,5e94e5dbe55dd0f9169ca4f6,"when your application use google services, we may collect and process information about your actual location. we use various technologies to determine location, including ip address, gps and other sensors that may, for example, provide google with information on nearby devices, wi-fi access points and mobile towers.",['monitor/audit'],0,1,0,1,0,0,0,1.0,1.0,I831094
6,6,5e94e5dbe55dd0f9169ca4f6,"when your implementation use google services, we may collect and process information about your actual location. we use various technologies to determine location, including ip address, gps and other sensors that may, for example, provide google with information on nearby devices, wi-fi access points and mobile towers.",['monitor/audit'],0,1,0,1,0,0,0,1.0,1.0,I831094
6,6,5e94e5dbe55dd0f9169ca4f6,"when you use google developers services, we may collect and process information about your actual location. we use various technologies to determine location, including ip address, gps and other sensors that may, for example, provide google with information on nearby devices, wi-fi access points and mobile towers.",['monitor/audit'],0,1,0,1,0,0,0,1.0,1.0,I831094
7,7,5e94e5dbe55dd0f9169ca4f7,"Certain services include a unique application number. This number and information about your installation (for example, the operating system type and application version number) may be sent to Google when you install or uninstall that service or when that service periodically contacts our servers, such as for automatic updates.","['monitor/audit', 'data security standards']",0,0,0,0,1,0,0,1.0,1.0,I830949
7,7,5e94e5dbe55dd0f9169ca4f7,"certain services include a unique application number. this number and information about your installation (for example, the operating system type and application version number) may be sent to google when your application install or uninstall that service or when that service periodically contacts our servers, such as for automatic updates.","['monitor/audit', 'data security standards']",0,1,0,1,1,0,0,1.0,1.0,I830949
7,7,5e94e5dbe55dd0f9169ca4f7,"certain services include a unique application number. this number and information about your installation (for example, the operating system type and application version number) may be sent to google when your implementation install or uninstall that service or when that service periodically contacts our servers, such as for automatic updates.","['monitor/audit', 'data security standards']",0,1,0,1,1,0,0,1.0,1.0,I830949
7,7,5e94e5dbe55dd0f9169ca4f7,"certain services include a unique application number. this number and information about your installation (for example, the operating system type and application version number) may be sent to google developers when you install or uninstall that service or when that service periodically contacts our servers, such as for automatic updates.","['monitor/audit', 'data security standards']",0,1,0,1,1,0,0,1.0,1.0,I830949
8,8,5e94e5dbe55dd0f9169ca4f8,We may collect and store information (including personal information) locally on your device using mechanisms such as browser web storage (including HTML 5) and application data caches.,['monitor/audit'],0,0,0,0,0,1,0,1.0,1.0,I831094
9,9,5e94e5dbe55dd0f9169ca4f9,"We use information collected from cookies and other technologies, like pixel tags, to improve your user experience and the overall quality of our services. One of the products we use to do this on our own services is Google Analytics. For example, by saving your language preferences, we’ll be able to have our services appear in the language you prefer. When showing you tailored ads, we will not associate an identifier from cookies or similar technologies with sensitive categories, such as those based on race, religion, sexual orientation or health.","['monitor/audit', 'changes to service']",1,0,0,1,0,0,0,1.0,1.0,I321911
